char,count
⚫,1
🔴,2
💡,2
🧠,3
∧,1
∨,1
¬,1
⇒,1
π,1
Σ,1
∞,1
∫,1
💗,2
✅,2
⏳,3
🔍,4
🛑,1
🪢,2
🔐,2
🎈,1
🫀,1
🌑,1
🌋,1
😁,1
❤️,1
🌬️,1
🌟,1
✓,1
⚠️,1
ℹ️,1
🔑,1
🛡️,2
💖,1
🔗,4
↩️,1
🔖,1
▶️,2
⏸️,2
⏹️,1
🟢,3
🏠,2
🔎,1
⚙️,2
🕒,1
📅,1
⭐,1
👑,1
🏆,1
!,1
?,1
@,1
#,1
*,1
+,1
-,1
~,2
🪞,3
👋,1
🙆,2
🫱,1
😕,1
🔄,4
◀️,1
🌱,2
🔊,1
🔴⏳,1
|,1
🦁,1
🧭,4
🚪,1
👏,1
📤,2
📥,2
🔥,1
🤲,2
🟡,1
&,1
🫤,1
📓,2
🔁,3
✏️,1
⚡,2
👃,2
🚫,1
=,1
🙈,1
🪨,1
🧶,1
🤙,1
🗑️,1
📂,1
💧,1
👁️,1
⚫⚪,1
%,1
😔,1
🫱🫲,1
🧩,2
👊,1
🏃‍♂️,1
⛰️,1
⚖️,1
🔇,1
/,1
🪦,1
🌉,1
🤝,1
🗺️,1
🌠,1
🌡️,2
🟠,1
\,1
🙏,1
🪁,1
🫂,1
🔒,1
🍃,1
📣,2
🩹,1
^,1
🌌,1
🕰️,2
🔃,1
📶,2
🚶‍♂️,1
🕯️,2
🏋️,1
_,1
🧘,1
🔍🧠,1
🎭,1
📢,2
🌙,1
🧱,1
📴,1
😌,1
📐,1
🧱🪨,1
📡,1
💾,1
🥁,1
🔄📡,1
:,1
😒,1
🔉,1
🤫,1
📌,1
💝,1
🫡,1
🤗,1
🎉,1
👏🏻,1
😟,1
🫶,1
🙏🏻,1
🙇,1
🥂,1
👋🏻,1
🤝🏻,1
🤝🏽,1
👋🏽,1
💞,1
🔦,1
🎯,1
🪶,1
❓,1
🎐,1
🧘‍♀️,1
🏃,1
➡️,1
⬅️,1
⏩,1
⏪,1
✂️,1
🪄,2
🔧,1
🧬,2
🔪,1
👂,1
👅,1
🔭,1
🔔,2
🧪,2
📳,1
👀,1
🎧,1
🖐️,1
🧏,1
🔮,1
📆,1
⏱️,1
🌗,1
🗓️,1
🕰️🔁,1
🌀,1
🛸,1
🧿,1
🛠️,1
🎲,1
🛰️,1
🪙,1
🧾,1
🧷,1
⚗️,1
🪵,1
🌐,1
🪩,1
🪪,1
🧧,1
