key,entropy
sym_0001_electron,17.5
sym_0002_proton,17.5
sym_0010_photon,21.0
sym_0020_higgs,17.5
logic_and,20.5
logic_or,20.5
logic_not,19.0
logic_implies,17.5
math_pi,14.0
math_sigma,17.5
math_infty,15.5
math_integral,16.0
trait_compassion,17.5
trait_validation,15.5
trait_patience,14.0
trait_curiosity,16.0
trait_boundaries,15.5
trait_resilience,14.0
trait_trust,16.0
trait_playfulness,17.5
emotion_ache,16.0
emotion_grief,16.0
emotion_anger,17.5
emotion_joy,17.5
emotion_love,16.0
meta_release,14.0
meta_gratitude,14.0
senses_taste_sweet,16.0
ui_ok,15.5
ui_warn,16.0
ui_info,14.0
security_lock,16.0
security_key,18.0
security_shield,18.0
social_heart,19.5
social_share,18.0
social_reply,16.5
social_bookmark,16.5
media_play,17.5
media_pause,16.0
media_stop,16.0
status_online,17.0
status_offline,17.0
nav_home,16.5
nav_search,16.5
nav_settings,18.0
time_clock,18.5
calendar,18.5
misc_star,18.5
misc_crown,18.5
misc_trophy,18.5
ascii_exclaim,17.5
ascii_question,16.0
ascii_at,16.0
ascii_hash,17.5
ascii_star,17.5
ascii_plus,16.0
ascii_dash,15.5
ascii_tilde,17.5
search_terms,6.5
sym_META04_reflection,18.5
sym_SOC05_wave,18.0
sym_SOC06_nod,18.0
sym_T009_humility,17.5
sym_E013_confusion,17.5
sym_UI04_refresh,17.5
sym_NAV04_back,18.0
sym_MISC04_seed,18.5
sym_S002_sound,17.5
sym_STAT03_busy,18.5
sym_A009_pipe,17.5
sym_E014_pride,17.5
sym_T010_integrity,17.5
sym_META05_transition,18.5
sym_SOC06_clap,18.0
sym_UI05_upload,17.5
sym_UI06_download,17.5
sym_MISC05_fire,18.5
sym_S003_touch,17.5
sym_STAT04_idle,18.5
sym_A010_ampersand,17.5
sym_E015_envy,17.5
sym_T011_accountability,17.5
sym_META06_reset,18.5
sym_SOC07_nod,18.0
sym_UI07_edit,17.5
sym_NAV05_forward,18.0
sym_MISC06_lightning,18.5
sym_S004_smell,17.5
sym_STAT05_dnd,18.5
sym_A011_equals,19.5
sym_E016_shame,17.5
sym_T012_grit,17.5
sym_META07_unravel,18.5
sym_SOC08_waveback,18.0
sym_UI08_delete,17.5
sym_NAV06_menu,18.0
sym_MISC07_water,18.5
sym_S005_sight,17.5
sym_STAT06_invisible,18.5
sym_A012_percent,17.5
sym_E017_regret,17.5
sym_T013_loyalty,17.5
sym_META08_fragment,18.5
sym_SOC09_fistbump,18.0
sym_UI09_filter,17.5
sym_NAV07_exit,18.0
sym_MISC08_mountain,18.5
sym_S006_balance,17.5
sym_STAT07_muted,18.5
sym_A013_slash,17.5
sym_E018_loneliness,17.5
sym_T014_curiosity,17.5
sym_META09_bridge,18.5
sym_SOC10_handshake,18.0
sym_UI10_zoom,17.5
sym_NAV08_map,18.0
sym_MISC09_starburst,18.5
sym_S007_temperature,17.5
sym_STAT08_active,18.5
sym_A014_backslash,17.5
sym_E019_gratitude,17.5
sym_T015_adaptability,17.5
sym_META10_knot,18.5
sym_SOC11_wavegroup,18.0
sym_UI11_lock,17.5
sym_NAV09_compass,18.0
sym_MISC10_leaf,18.5
sym_S008_echo,17.5
sym_STAT09_repairing,18.5
sym_A015_caret,17.5
sym_E020_awe,17.5
sym_T016_patience,17.5
sym_META11_cycle,18.5
sym_SOC12_signal,18.0
sym_UI12_sync,17.5
sym_NAV10_path,18.0
sym_MISC11_flame,18.5
sym_S009_weight,17.5
sym_STAT10_pending,18.5
sym_A016_underscore,17.5
sym_E021_serenity,17.5
