key,entropy,tier
sym_0001_electron,17.5,Medium
sym_0002_proton,17.5,Medium
sym_0010_photon,21.0,High
sym_0020_higgs,17.5,Medium
logic_and,20.5,High
logic_or,20.5,High
logic_not,19.0,High
logic_implies,17.5,Medium
math_pi,14.0,Medium
math_sigma,17.5,Medium
math_infty,15.5,Medium
math_integral,16.0,Medium
trait_compassion,17.5,Medium
trait_validation,15.5,Medium
trait_patience,14.0,Medium
trait_curiosity,16.0,Medium
trait_boundaries,15.5,Medium
trait_resilience,14.0,Medium
trait_trust,16.0,Medium
trait_playfulness,17.5,Medium
emotion_ache,16.0,Medium
emotion_grief,16.0,Medium
emotion_anger,17.5,Medium
emotion_joy,17.5,Medium
emotion_love,16.0,Medium
meta_release,14.0,Medium
meta_gratitude,14.0,Medium
senses_taste_sweet,16.0,Medium
ui_ok,15.5,Medium
ui_warn,16.0,Medium
ui_info,14.0,Medium
security_lock,16.0,Medium
security_key,18.0,High
security_shield,18.0,High
social_heart,19.5,High
social_share,18.0,High
social_reply,16.5,Medium
social_bookmark,16.5,Medium
media_play,17.5,Medium
media_pause,16.0,Medium
media_stop,16.0,Medium
status_online,17.0,Medium
status_offline,17.0,Medium
nav_home,16.5,Medium
nav_search,16.5,Medium
nav_settings,18.0,High
time_clock,18.5,High
calendar,18.5,High
misc_star,18.5,High
misc_crown,18.5,High
misc_trophy,18.5,High
ascii_exclaim,17.5,Medium
ascii_question,16.0,Medium
ascii_at,16.0,Medium
ascii_hash,17.5,Medium
ascii_star,17.5,Medium
ascii_plus,16.0,Medium
ascii_dash,15.5,Medium
ascii_tilde,17.5,Medium
search_terms,6.5,Low
sym_META04_reflection,18.5,High
sym_SOC05_wave,18.0,High
sym_SOC06_nod,18.0,High
sym_T009_humility,17.5,Medium
sym_E013_confusion,17.5,Medium
sym_UI04_refresh,17.5,Medium
sym_NAV04_back,18.0,High
sym_MISC04_seed,18.5,High
sym_S002_sound,17.5,Medium
sym_STAT03_busy,18.5,High
sym_A009_pipe,17.5,Medium
sym_E014_pride,17.5,Medium
sym_T010_integrity,17.5,Medium
sym_META05_transition,18.5,High
sym_SOC06_clap,18.0,High
sym_UI05_upload,17.5,Medium
sym_UI06_download,17.5,Medium
sym_MISC05_fire,18.5,High
sym_S003_touch,17.5,Medium
sym_STAT04_idle,18.5,High
sym_A010_ampersand,17.5,Medium
sym_E015_envy,17.5,Medium
sym_T011_accountability,17.5,Medium
sym_META06_reset,18.5,High
sym_SOC07_nod,18.0,High
sym_UI07_edit,17.5,Medium
sym_NAV05_forward,18.0,High
sym_MISC06_lightning,18.5,High
sym_S004_smell,17.5,Medium
sym_STAT05_dnd,18.5,High
sym_A011_equals,19.5,High
sym_E016_shame,17.5,Medium
sym_T012_grit,17.5,Medium
sym_META07_unravel,18.5,High
sym_SOC08_waveback,18.0,High
sym_UI08_delete,17.5,Medium
sym_NAV06_menu,18.0,High
sym_MISC07_water,18.5,High
sym_S005_sight,17.5,Medium
sym_STAT06_invisible,18.5,High
sym_A012_percent,17.5,Medium
sym_E017_regret,17.5,Medium
sym_T013_loyalty,17.5,Medium
sym_META08_fragment,18.5,High
sym_SOC09_fistbump,18.0,High
sym_UI09_filter,17.5,Medium
sym_NAV07_exit,18.0,High
sym_MISC08_mountain,18.5,High
sym_S006_balance,17.5,Medium
sym_STAT07_muted,18.5,High
sym_A013_slash,17.5,Medium
sym_E018_loneliness,17.5,Medium
sym_T014_curiosity,17.5,Medium
sym_META09_bridge,18.5,High
sym_SOC10_handshake,18.0,High
sym_UI10_zoom,17.5,Medium
sym_NAV08_map,18.0,High
sym_MISC09_starburst,18.5,High
sym_S007_temperature,17.5,Medium
sym_STAT08_active,18.5,High
sym_A014_backslash,17.5,Medium
sym_E019_gratitude,17.5,Medium
sym_T015_adaptability,17.5,Medium
sym_META10_knot,18.5,High
sym_SOC11_wavegroup,18.0,High
sym_UI11_lock,17.5,Medium
sym_NAV09_compass,18.0,High
sym_MISC10_leaf,18.5,High
sym_S008_echo,17.5,Medium
sym_STAT09_repairing,18.5,High
sym_A015_caret,17.5,Medium
sym_E020_awe,17.5,Medium
sym_T016_patience,17.5,Medium
sym_META11_cycle,18.5,High
sym_SOC12_signal,18.0,High
sym_UI12_sync,17.5,Medium
sym_NAV10_path,18.0,High
sym_MISC11_flame,18.5,High
sym_S009_weight,17.5,Medium
sym_STAT10_pending,18.5,High
sym_A016_underscore,17.5,Medium
sym_E021_serenity,17.5,Medium
sym_T017_discernment,17.5,Medium
sym_META12_mask,18.5,High
sym_SOC13_signalboost,18.0,High
sym_UI13_settings,17.5,Medium
sym_NAV11_home,18.0,High
sym_MISC12_moon,18.5,High
sym_S010_pressure,17.5,Medium
sym_STAT11_offline,18.5,High
sym_A017_tilde,17.5,Medium
sym_E022_relief,17.5,Medium
sym_T018_precision,17.5,Medium
sym_META13_collapse,18.5,High
sym_SOC14_signalfade,18.0,High
sym_UI14_save,17.5,Medium
sym_NAV12_refresh,18.0,High
sym_MISC13_seedling,18.5,High
sym_S011_rhythm,17.5,Medium
sym_STAT12_syncing,18.5,High
sym_A018_colon,17.5,Medium
sym_E015_envy_additional,14.5,Medium
sym_S012_echo_soft,16.0,Medium
sym_META14_whisper,18.5,High
sym_UI15_pin,16.0,Medium
sym_SOC15_heartfelt,16.5,Medium
sym_SOC16_salute,18.0,High
sym_SOC17_hug,18.0,High
sym_SOC18_celebrate,18.0,High
sym_SOC19_encourage,18.0,High
sym_SOC20_concern,18.0,High
sym_SOC21_salutation,18.0,High
sym_SOC22_thanks,18.0,High
sym_SOC23_apology,18.0,High
sym_SOC24_toast,18.0,High
sym_SOC25_wave_two,18.0,High
sym_SOC26_cheer,18.0,High
sym_SOC27_support,18.0,High
sym_SOC28_partnership,18.0,High
sym_SOC29_farewell,18.0,High
sym_SOC30_salutation_heart,18.0,High
sym_META15_mindful,18.5,High
sym_META16_insight,18.5,High
sym_META17_contemplate,18.5,High
sym_META18_focus,18.5,High
sym_META19_awareness,18.5,High
sym_META20_clarity,18.5,High
sym_META21_reflect,18.5,High
sym_META22_inquiry,18.5,High
sym_META23_concept,18.5,High
sym_META24_journal,18.5,High
sym_META25_synapse,18.5,High
sym_META26_muse,18.5,High
sym_META27_introspect,18.5,High
sym_META28_metacog,18.5,High
sym_META29_meditate,18.5,High
sym_META30_converge,18.5,High
sym_ACT01_move,18.0,High
sym_ACT02_approach,18.0,High
sym_ACT03_retreat,18.0,High
sym_ACT04_transform,18.0,High
sym_ACT05_initiate,18.0,High
sym_ACT06_complete,18.0,High
sym_ACT07_pause,18.0,High
sym_ACT08_accelerate,18.0,High
sym_ACT09_decelerate,18.0,High
sym_ACT10_rotate,18.0,High
sym_ACT11_push,18.0,High
sym_ACT12_pull,18.0,High
sym_ACT13_connect,18.0,High
sym_ACT14_detach,18.0,High
sym_ACT15_invoke,18.0,High
sym_ACT16_transform_minor,18.0,High
sym_ACT17_merge,18.0,High
sym_ACT18_split,18.0,High
sym_S013_listen,17.5,Medium
sym_S014_taste,17.5,Medium
sym_S015_smell2,17.5,Medium
sym_S016_see_deep,17.5,Medium
sym_S017_touch_soft,17.5,Medium
sym_S018_feedback,17.5,Medium
sym_S019_probe,17.5,Medium
sym_S020_vibrate,17.5,Medium
sym_S021_glance,17.5,Medium
sym_S022_listen_close,17.5,Medium
sym_S023_tactile_alert,17.5,Medium
sym_S024_temperature_probe,17.5,Medium
sym_S025_echo_back,17.5,Medium
sym_S026_focus_listen,17.5,Medium
sym_S027_visual_ping,17.5,Medium
sym_S028_presence_probe,17.5,Medium
sym_TIME03_past,18.5,High
sym_TIME04_present,18.5,High
sym_TIME05_future,18.5,High
sym_TIME06_cycle_small,18.5,High
sym_TIME07_cycle_large,18.5,High
sym_TIME08_epoch,18.5,High
sym_TIME09_moment,18.5,High
sym_TIME10_phase,18.5,High
sym_TIME11_schedule,18.5,High
sym_TIME12_defer,18.5,High
sym_TIME13_sync,18.5,High
sym_TIME14_remember,18.5,High
sym_EXTRA021,19.5,High
sym_EXTRA022,19.5,High
sym_EXTRA023,19.5,High
sym_EXTRA024,19.5,High
sym_EXTRA025,19.5,High
sym_EXTRA026,19.5,High
sym_EXTRA027,19.5,High
sym_EXTRA028,19.5,High
sym_EXTRA029,19.5,High
sym_EXTRA030,19.5,High
sym_EXTRA031,19.5,High
sym_EXTRA032,19.5,High
sym_EXTRA033,19.5,High
sym_EXTRA034,19.5,High
sym_EXTRA035,19.5,High
sym_EXTRA036,19.5,High
sym_EXTRA037,19.5,High
sym_EXTRA038,19.5,High
sym_EXTRA039,19.5,High
sym_EXTRA040,19.5,High
