role,avg_entropy,min_entropy,max_entropy,n_symbols
particle,17.5,17.5,17.5,2
boson,21.0,21.0,21.0,1
scalar_boson,17.5,17.5,17.5,1
logic,19.38,17.5,20.5,4
math,15.75,14.0,17.5,4
trait,16.72,14.0,17.5,18
emotion,17.03,14.5,17.5,16
meta,18.29,14.0,18.5,42
sensory,17.25,16.0,17.5,12
ui,16.93,14.0,17.5,15
security,17.33,16.0,18.0,3
social,17.9,16.5,19.5,31
media,16.5,16.0,17.5,3
status,18.25,17.0,18.5,12
navigation,17.75,16.5,18.0,12
time,18.5,18.5,18.5,14
ascii,17.25,15.5,19.5,18
UNSPECIFIED,6.5,6.5,6.5,1
action,18.0,18.0,18.0,18
sense,17.5,17.5,17.5,16
extra,19.5,19.5,19.5,20
