tag,count
physics,4
particle,2
metaphor,1
idea,2
boson,1
logic,9
operator,6
math,7
empathy,4
social,36
cognitive,13
safety,3
strength,3
security,5
joy,2
relationship,9
emotion,32
sadness,1
mourning,1
anger,1
healing,4
positive,1
sensory,14
ui,38
meta,46
auth,1
media,3
status,13
presence,9
nav,12
time,16
achievement,1
ascii,18
tone,1
introspection,5
gesture,13
trait,10
virtue,4
action,30
growth,3
audio,6
change,5
environment,3
vulnerability,2
privacy,1
reflection,1
journey,1
navigation,1
spiritual,3
communication,4
effort,2
identity,1
music,1
syntax,1
repair,1
ceremony,1
collaboration,1
observation,2
documentation,1
creativity,1
integration,2
movement,3
direction,1
start,1
end,1
control,3
speed,1
motion,1
force,2
link,1
separation,2
trigger,1
modify,1
sense,16
vision,2
touch,1
analysis,1
haptic,2
network,2
temporal,4
cycle,3
epoch,1
planning,1
coordination,1
memory,1
extra,20
wildcard,1
unknown,1
protection,2
experimental,1
test,1
explore,1
random,1
surprise,1
token,1
record,1
mix,1
foundation,1
id,1
exchange,1
