time,value
2025-10-30 00:00:00,0.12
2025-10-30 00:00:30,0.23
2025-10-30 00:01:00,0.18
2025-10-30 00:01:30,0.21
2025-10-30 00:02:00,0.78
2025-10-30 00:02:30,0.32
2025-10-30 00:03:00,0.14
2025-10-30 00:03:30,0.81
2025-10-30 00:04:00,0.20
2025-10-30 00:04:30,0.17
2025-10-30 00:05:00,0.09
2025-10-30 00:05:30,0.95
2025-10-30 00:06:00,0.11
2025-10-30 00:06:30,0.16
2025-10-30 00:07:00,0.40
2025-10-30 00:07:30,0.72
2025-10-30 00:08:00,0.15
2025-10-30 00:08:30,0.19
2025-10-30 00:09:00,0.22
2025-10-30 00:09:30,0.85
2025-10-30 00:10:00,0.13
